7740;96.33
3400;20.76
5431;30.69
8533;24.0
6853;64.45
1965;40.81
7178;113.07
8244;15.47
1564;72.57
5401;107.83
3609;54.47
9019;4.56
8749;34.0
3304;86.15
7073;92.35
9369;83.74
2208;43.67
5798;40.46
2952;115.99
4225;83.67
2148;100.12
3134;21.98
2931;75.01
6383;21.69
5920;48.73
9064;58.55
2200;35.14
2207;66.94
5991;68.34
9589;93.21
7816;101.18
4438;15.45
3635;63.52
1171;112.87
7964;105.2
7475;52.56
9305;98.6
5033;36.27
4321;40.39
2956;46.11
3187;59.95
6622;12.38
2270;27.08
6010;25.7
1877;39.14
1860;54.8
6187;30.72
5029;85.74
9698;33.11
4268;72.92
9510;48.99
300;85.91
5596;44.26
9577;102.89
1845;110.37
9363;19.72
9122;54.35
6916;102.64
7813;40.6
9434;78.91
1456;77.36
8186;108.46
4870;36.16
9757;55.84
9959;57.9
9724;58.93
9834;70.47
9222;95.52
7229;112.75
2846;25.25
6340;49.49
7121;40.5
8132;4.54
2388;95.15
7945;88.11
7362;23.97
793;41.83
4830;5.96
4122;74.17
9036;80.8
21;12.86
117;55.69
8853;56.27
8641;86.24
4132;44.01
3769;52.92
4065;95.69
1853;73.75
8673;48.5
8392;115.99
2623;6.86
5176;76.85
2995;76.96
6182;23.91
8107;25.48
325;73.3
8170;48.99
6524;51.79
1117;79.06
6698;53.7
7223;65.65
5302;51.68
4298;44.49
9787;32.57
1155;74.66
4993;4.39
853;13.06
5872;82.36
6736;29.68
7185;31.43
3735;80.78
5868;32.86
4535;76.02
1579;109.17
5269;30.11
3652;28.32
8186;90.47
8112;107.02
9414;117.5
6745;4.79
8336;38.31
1281;99.0
1407;115.09
9684;40.8
7279;65.64
8276;108.22
1997;102.77
2940;53.31
2732;93.47
5027;111.01
6012;100.31
2741;31.5
1748;113.31
6760;103.67
7482;105.09
9643;40.89
8227;73.25
2171;64.27
6036;24.04
6200;78.83
7;27.62
2809;21.82
1807;70.52
6592;8.4
4015;82.86
1782;6.76
8570;3.19
3557;61.17
453;52.1
8379;36.62
7346;59.43
478;88.37
9489;47.63
7715;86.26
5178;29.57
8982;98.58
6444;110.28
6991;21.17
6337;85.08
4895;85.78
3929;46.26
2484;86.54
5652;99.49
7912;106.5
1936;86.18
3859;117.17
6215;80.68
2829;72.3
9338;85.11
4907;108.51
6177;32.87
2685;40.98
2784;43.03
2315;21.3
1858;53.32
6683;63.13
1459;74.02
6557;114.64
6913;93.69
8210;74.86
8704;87.86
1525;89.37
9754;15.44
846;5.1
3941;62.22
1988;33.28
3990;12.96
2678;61.44
911;57.3
486;104.43
9075;103.06
1797;17.61
681;90.76
7761;13.39
917;100.01
8313;99.15
405;19.27
3322;96.65
4668;3.54
749;8.62
1319;71.0
5253;69.04
4406;54.27
7159;32.67
1932;10.92
859;114.18
6963;91.33
3831;11.57
4909;98.67
2255;108.31
9604;99.5
6911;55.16
8606;7.39
3497;56.72
3790;117.96
4816;14.41
6745;91.9
8362;54.1
9753;52.37
1778;12.79
2195;62.86
367;98.14
9111;78.09
5375;41.42
3351;98.96
9148;115.29
5247;11.5
3393;44.44
4069;97.39
9777;118.73
3671;34.02
7884;78.29
646;46.85
4138;96.66
7116;34.03
6755;40.73
1818;90.11
5952;77.6
2556;9.97
5758;15.83
256;42.64
3559;29.33
9918;28.33
6214;87.19
6527;35.15
7054;96.63
4669;14.96
6337;22.13
9006;115.71
8884;73.94
9046;38.52
6497;77.8
5716;69.94
9500;80.6
9120;18.46
1295;114.18
6564;44.57
2171;106.28
7451;43.08
3766;78.56
6954;15.17
3564;101.85
3531;54.6
9604;40.96
6260;28.85
9181;96.7
6775;28.13
1722;95.57
7122;23.3
5269;87.18
9251;45.19
8027;4.17
4058;41.63
1292;54.95
7904;42.91
7745;8.08
2350;53.56
9571;35.19
8488;102.28
4153;52.2
700;27.05
1199;66.89
5929;61.95
4072;76.02
3616;104.55
9824;3.91
8357;81.54
6970;77.84
2013;65.28
7406;13.45
4524;63.38
9020;91.5
3007;92.38
8547;43.93
6838;83.15
9982;10.25
2374;95.65
2503;83.65
4739;30.92
3238;40.85
5648;18.33
4466;18.67
5648;86.53
1856;25.67
6348;75.29
235;33.76
3206;55.12
6007;112.65
2290;16.18
856;72.3
5035;64.59
9617;16.3
3483;46.86
6359;59.52
4756;7.12
6575;110.13
7566;103.87
165;48.67
5472;50.86
9377;14.05
1275;56.77
8291;63.58
4458;13.77
5532;81.77
8910;48.91
9932;26.02
1279;101.01
9604;106.36
1288;99.5
8540;67.87
4063;37.29
1223;5.14
1139;108.29
4990;36.66
1152;90.33
1931;19.92
3450;29.41
6936;74.36
7867;22.13
6202;103.99
1701;9.87
963;83.31
603;107.71
4503;68.54
3503;83.75
6637;17.61
2987;82.61
8725;101.53
1584;95.41
4044;42.55
1324;100.37
2864;13.75
8623;85.99
8937;101.73
9054;87.56
4277;43.02
6893;3.09
2073;98.95
2456;115.2
3383;108.68
6201;79.41
1858;59.18
2314;104.78
2148;54.6
6089;96.64
1893;13.12
8778;24.9
4217;54.66
790;109.12
7525;80.99
9147;8.61
2036;33.21
7891;82.92
8002;90.7
801;84.64
8816;24.06
4212;30.18
3341;83.73
4000;64.24
5700;28.0
4843;25.16
7496;49.05
1791;37.5
6967;63.88
3839;102.26
1945;62.99
6735;90.04
8646;84.72
7547;65.76
6290;52.97
6692;103.55
8372;44.52
4025;89.34
4959;70.58
4385;64.77
6851;79.56
4555;87.43
1641;116.19
7969;49.64
3773;95.42
5708;81.97
5523;108.2
2335;14.83
3533;69.06
2935;73.22
5954;33.69
3369;25.8
8609;64.73
9183;58.6
4625;112.93
9905;59.23
951;44.4
4486;53.77
6875;20.07
584;67.4
4219;50.98
5027;116.42
6214;93.06
5356;85.73
2251;84.79
2632;51.39
8677;6.47
3844;76.85
1575;75.74
8193;26.27
6101;4.83
5305;52.64
8348;32.28
4970;79.42
9933;111.72
7409;109.21
2561;9.18
273;42.13
9660;13.53
3559;38.83
4850;33.56
6486;21.42
2481;5.97
988;84.18
3792;40.8
4917;98.61
3302;27.4
4354;100.41
4012;18.26
8439;33.66
6673;33.61
2060;36.03
7966;115.92
1421;29.0
4752;83.97
5021;109.52
6745;44.28
7897;8.34
7917;58.59
119;24.03
7760;34.39
1477;43.45
7106;9.21
3054;101.92
9647;47.53
2953;28.26
9506;69.01
7830;112.68
7261;36.07
4091;4.55
1681;46.14
2600;21.61
2087;107.69
8589;116.12
6740;25.29
4093;12.42
5944;59.54
3657;16.12
4656;54.12
5357;91.29
8317;118.51
8220;39.21
7329;63.42
4032;77.38
176;72.47
6203;43.42
2497;28.66
893;111.8
9630;91.02
5887;46.95
3095;58.84
887;91.31
7272;11.37
8799;27.51
1172;11.08
1374;89.42
1559;95.26
4126;25.61
7954;13.42
4830;112.69
7085;90.98
7123;84.12
4164;31.47
5705;26.25
1102;16.03
2492;53.92
7196;37.12
3689;44.08
6129;20.91
6204;26.52
4255;26.51
8091;102.28
9006;117.07
1756;77.92
3043;99.66
584;90.54
